name, street_number, street, city, state, zip_code, phone_number, website
Nassau Veterans Memorial Coliseum,1255,Hempstead Turnpike,Uniondale,NY,11553,(516)-231-4848,http://nycblive.com
Barclays Center,620,Atlantic Ave,Brooklyn,NY,11217,(917)-618-6100,http://barclayscenter.com
